Society,Place,Year,Households,State's share (direct tax only: vergi etc.) %,State's share (plus tithe etc.) %,Lord or landlord %,Church %,"Combined, cannot be split %",Numerator,Denominator,Who computed it,Source,How checked
Ottoman Empire,"Kavacık village, Kepsut district (Hüdavendigâr; today Balıkesir)",1844–45,13,14.0,20.1,,,,vergi-i mahsusa paid the previous year; plus the tithe recorded for this year,"sum of each household's annual income in the register (first column of each plot is ten times the tithe, a gross figure including the tithe, plus livestock and craft income); households missing a total filled in as agricultural plus other income",computed by us,"Demir 2016, appendix EK 5–22 transcription; registers ML.VRD.TMT.d 8400–8403",arithmetic of the household-by-household transcription checked; original register not seen
Ottoman Empire,"Sayacık village, Kepsut district (Hüdavendigâr; today Balıkesir)",1844–45,9,15.9,24.8,,,,vergi-i mahsusa paid the previous year; plus the tithe recorded for this year,"sum of each household's annual income in the register (first column of each plot is ten times the tithe, a gross figure including the tithe, plus livestock and craft income); households missing a total filled in as agricultural plus other income",computed by us,"Demir 2016, appendix EK 5–22 transcription; registers ML.VRD.TMT.d 8400–8403",arithmetic of the household-by-household transcription checked; original register not seen
Ottoman Empire,"Örenli village, Kepsut district (Hüdavendigâr; today Balıkesir)",1844–45,12,16.1,24.4,,,,vergi-i mahsusa paid the previous year; plus the tithe recorded for this year,"sum of each household's annual income in the register (first column of each plot is ten times the tithe, a gross figure including the tithe, plus livestock and craft income); households missing a total filled in as agricultural plus other income",computed by us,"Demir 2016, appendix EK 5–22 transcription; registers ML.VRD.TMT.d 8400–8403",arithmetic of the household-by-household transcription checked; original register not seen
Ottoman Empire,"Mefteros village, Kepsut district (Hüdavendigâr; today Balıkesir)",1844–45,12,16.4,21.3,,,,vergi-i mahsusa paid the previous year; plus the tithe recorded for this year,"sum of each household's annual income in the register (first column of each plot is ten times the tithe, a gross figure including the tithe, plus livestock and craft income); households missing a total filled in as agricultural plus other income",computed by us,"Demir 2016, appendix EK 5–22 transcription; registers ML.VRD.TMT.d 8400–8403",arithmetic of the household-by-household transcription checked; original register not seen
Ottoman Empire,"Umurlar village, Kepsut district (Hüdavendigâr; today Balıkesir)",1844–45,16,24.4,30.5,,,,vergi-i mahsusa paid the previous year; plus the tithe recorded for this year,"sum of each household's annual income in the register (first column of each plot is ten times the tithe, a gross figure including the tithe, plus livestock and craft income); households missing a total filled in as agricultural plus other income",computed by us,"Demir 2016, appendix EK 5–22 transcription; registers ML.VRD.TMT.d 8400–8403",arithmetic of the household-by-household transcription checked; original register not seen
Ottoman Empire,"Şabanlar village, Kepsut district (Hüdavendigâr; today Balıkesir)",1844–45,23,17.1,23.8,,,,vergi-i mahsusa paid the previous year; plus the tithe recorded for this year,"sum of each household's annual income in the register (first column of each plot is ten times the tithe, a gross figure including the tithe, plus livestock and craft income); households missing a total filled in as agricultural plus other income",computed by us,"Demir 2016, appendix EK 5–22 transcription; registers ML.VRD.TMT.d 8400–8403",arithmetic of the household-by-household transcription checked; original register not seen
Ottoman Empire,"Veliler quarter, Kepsut district (Hüdavendigâr; today Balıkesir)",1844–45,6,18.0,26.0,,,,vergi-i mahsusa paid the previous year; plus the tithe recorded for this year,"sum of each household's annual income in the register (first column of each plot is ten times the tithe, a gross figure including the tithe, plus livestock and craft income); households missing a total filled in as agricultural plus other income",computed by us,"Demir 2016, appendix EK 5–22 transcription; registers ML.VRD.TMT.d 8400–8403",arithmetic of the household-by-household transcription checked; original register not seen
Ottoman Empire,"Kepsut district, 17 villages combined",1844–45,290,19.0,25.1,,,,vergi-i mahsusa paid the previous year; plus the tithe recorded for this year,"sum of each household's annual income in the register (first column of each plot is ten times the tithe, a gross figure including the tithe, plus livestock and craft income); households missing a total filled in as agricultural plus other income",computed by us,"as above; Demir's own printed village totals divide to 18.1% (Çizelge 56, pp.133–134)",as above
Ottoman Empire,"Bezirgân village (Kütahya, Gireği)",1844–45,38,11.5,20.6,,,,vergi-i mahsusa paid the previous year; plus the tithe of 1260 (Hijri),agricultural income of 1260 (ten times the tithe) plus livestock income; other income such as mills and sheep-herding missing,computed by us,"Kolay 2014, Tablo-5, 12, 14; register 8685",arithmetic of the household-by-household transcription checked; on the author's two-year-average basis the ratio is 12.7%
Ottoman Empire,Tivnik village (Erzurum),1844–45,66,5.2,9.2,,,,"vergi-i mahsusa paid the previous year, whole village 1,780; tithe 1,376.5","whole-village income in the register 34,400 (agricultural part is the household's own share after the sharecropping split, net of tithe)",computed by us (from the author's printed village totals),"Atar 2026, Tablo 4, 9 (pp.2381, 2384)",checked against the printed page (300 dpi; see our notes checking earlier researchers' figures)
Ottoman Empire,Pop Stanko quarter of Niš (town),1845,57,8.8,11.7,,,,vergi paid the previous year; tithe,"fields, vineyards, gardens, meadows and occupational income added up (assembled by us)",computed by us,"Ranđelović and Çekmez 2025, household-by-household description",authors give no totals; used only as a town comparison
Ottoman Empire,Alpu village (Eskişehir),1844–45,199,13.8,22.48,,,,author: vergi-i mahsusa about 13.80%; 22.48% is the expected tithe and sheep tax plus the previous year's vergi,"the survey's ""estimated income""",computed by the author,"Küçükkalay and Efe 2006, p.260, appendix table","checked against the printed page (300 dpi; see our notes checking earlier researchers' figures); total tax 43.343 in the text is a misprint, appendix table has 45.343; why 13.80 + 8.93 ≠ 22.48 is unclear"
Ottoman Empire,Otmanlı village (Selanik),1845,151,8.16,,,,,vergi (year not stated),total registered income; unit is the taxpayer,computed by the author,"Seyyar 2019, pp.476–477",checked against the printed page (300 dpi; see our notes checking earlier researchers' figures)
Ottoman Empire,"Ağsaklar village (Kütahya, Gediz)",1845,17,4.1,5.8,,,,two vergi columns (nature of the second not settled); plus the various tithes,"sum of all income items, household by household",computed by us (from the author's printed figures),"Pehlivan 2023, Tablo 6, 7",checked against the printed page (300 dpi; see our notes checking earlier researchers' figures)
Ottoman Empire,"Saruhanlar village (Kütahya, Simav)",1844/1845,35,33.6,37.8,,,,"1260/1844 vergi-i mahsusa 4,776.5; tithe 596.5","1261/1845 estimated income 14,198",computed by us (from the author's printed figures),"Sağlam 2022, Tablo 12, 13, p.50–51","checked against the printed page (300 dpi; see our notes checking earlier researchers' figures); the two columns are from different years, and the author's statements about the tax column contradict each other"
Ottoman Empire,"Rumnos village (Bolu, Devrek)",1844–45,20,15.1,22.7,,,,"vergi-i mahsusa 4,614; tithe 2,329.5","whole-village income 30,625",computed by us (from the author's printed figures),"Hançer 2026, Table 2, 7",checked only against a .txt copy; no printed page
Ottoman Empire,Ödemiş town (Aydın),1844–45,487,20.8,,,,,"virgü-yi mahsûsa (""paid in 1844"")","income, net of tithe",computed by the author,"Güran 1985, s.317","checked against the printed page (300 dpi; see our notes checking earlier researchers' figures); the author says ""about 25%"" with the tithe, a round figure, not entered in the table"
Ottoman Empire,"Kilmigad district, 42 villages",1844–45,642,15.2,22.37,,,,"three items: vergi-i mahsusa, tithe, sheep tax",income in the register,computed by the author (plus-tithe column); the vergi-only column computed by us (sum of village vergi-i mahsusa in table 2),"Zabun 2021, pp.474–476; villages range from 9% to 37.84%","checked against the printed page (300 dpi; see our notes checking earlier researchers' figures); total tax 76,267 in the text does not match table 2; the table is followed"
Ottoman Empire,"Artukabad district, 56 villages",1844–45,,20.1,28.1,,,,vergi only; all taxes,income in the register,"computed by us (from the author's Tablo 6 totals, 242,835.2 ÷ 864,195; the author prints 29, the sum of rounded components)","Üçtepe 2006, MA thesis, p.20 Tablo 6, p.60, pp.66–69; vergi only, villages range from 9.5% to 34.3%",checked against the printed page (300 dpi; see our notes checking earlier researchers' figures)
Ottoman Empire,"Inland group, 10 villages (across districts)",1844–45,,17.6,25.64,,,,all taxes,income in the register,computed by the author,"Koyuncu and Küçükkalay 2016, p.195, appendix 1","checked against the printed page (300 dpi; see our notes checking earlier researchers' figures); the text misprints 24,65; the appendix total is followed"
Ottoman Empire,"Commercial-centre hinterland group, 10 villages (across districts)",1844–45,,14.0,18.25,,,,all taxes,income in the register,computed by the author,"Koyuncu and Küçükkalay 2016, p.195, appendix 1",checked against the printed page (300 dpi; see our notes checking earlier researchers' figures)
Ottoman Empire,"Tire district, countryside: 70 villages and 6 farms",1845,"2,606",23.9,,,,,taxes paid the previous year,registered income in the summary register,computed by us (the author prints 23%),"Yükçü et al. 2014, Tablo 10, p.195",checked against the printed page (300 dpi; see our notes checking earlier researchers' figures)
Ottoman Empire,"Tire town, 39 quarters (excluding the separately listed Rum and Jewish population)",1845,"3,026",18.6,,,,,as above,as above,computed by us (the author prints 18%),as above,checked against the printed page (300 dpi; see our notes checking earlier researchers' figures)
Ottoman Empire,Buldan town,1844,851,13.3,,,,,vergi paid the previous year,average registered income,"computed by us (the author's groups: 13.35%, 13.05%)","İlter 2022, Tablo 1, p.462",checked against the printed page (300 dpi; see our notes checking earlier researchers' figures)
Ottoman Empire,Sorgun district (Bozok),1844–45,"1,908",18.3,28.1,,,,vergi-i mahsusa; plus tithe and various fees,registered income (worked back as nine times the tithe),computed by the author (28.1% is my recomputation from the author's totals; the author prints 29.2%),Yereli et al. 2015,checked in our reading notes
Ottoman Empire,Two villages in Niğde,1844–45,132,13.3,,,,,vergi-i mahsusa,registered income,computed by the author,Gölçek and Köktaş 2019,checked in our reading notes
Ottoman Empire,"Filibe, nine villages",1844–45,,13–22,,,,,—,—,computed by the author (quoted at second hand),"Güran 1998, quoted at second hand from Koyuncu and Küçükkalay 2016 p.195",original book not obtained
Ottoman Empire,"Tavşanlı, central quarters and villages",1844–45,,19,,,,,—,—,computed by the author (quoted at second hand),"Atar 2007, MA thesis p.101, quoted at second hand from note 33 of the Alpu article",original book not obtained
Ottoman Empire,Ankara sub-province (sancak),1845 tax (computed in 1847),,31.5,,,,,1845 tax of the whole sancak (vergi-i mahsusa),registered income of the whole sancak,"computed by the author (Ottoman central government, Ceride Muhasebesi, 1847)","Efe 2016, tables 1, 2, 4 (pp.23–26)","checked in our reading notes; Biga's income cell is empty, so it cannot be checked"
Ottoman Empire,Kastamonu sub-province (sancak),1845 tax (computed in 1847),,37,,,,,1845 tax of the whole sancak (vergi-i mahsusa),registered income of the whole sancak,"computed by the author (Ottoman central government, Ceride Muhasebesi, 1847)","Efe 2016, tables 1, 2, 4 (pp.23–26)","checked in our reading notes; Biga's income cell is empty, so it cannot be checked"
Ottoman Empire,Amasya sub-province (sancak),1845 tax (computed in 1847),,23.5,,,,,1845 tax of the whole sancak (vergi-i mahsusa),registered income of the whole sancak,"computed by the author (Ottoman central government, Ceride Muhasebesi, 1847)","Efe 2016, tables 1, 2, 4 (pp.23–26)","checked in our reading notes; Biga's income cell is empty, so it cannot be checked"
Ottoman Empire,Biga sub-province (sancak),1845 tax (computed in 1847),,80,,,,,1845 tax of the whole sancak (vergi-i mahsusa),registered income of the whole sancak,"computed by the author (Ottoman central government, Ceride Muhasebesi, 1847)","Efe 2016, tables 1, 2, 4 (pp.23–26)","checked in our reading notes; Biga's income cell is empty, so it cannot be checked"
Ottoman Empire,Konya sub-province (sancak),1845 tax (computed in 1847),,12,,,,,1845 tax of the whole sancak (vergi-i mahsusa),registered income of the whole sancak,"computed by the author (Ottoman central government, Ceride Muhasebesi, 1847)","Efe 2016, tables 1, 2, 4 (pp.23–26)","checked in our reading notes; Biga's income cell is empty, so it cannot be checked"
Ottoman Empire,Vidin sub-province (sancak),1845 tax (computed in 1847),,12,,,,,1845 tax of the whole sancak (vergi-i mahsusa),registered income of the whole sancak,"computed by the author (Ottoman central government, Ceride Muhasebesi, 1847)","Efe 2016, tables 1, 2, 4 (pp.23–26)","checked in our reading notes; Biga's income cell is empty, so it cannot be checked"
Ottoman Empire,Silistre sub-province (sancak),1845 tax (computed in 1847),,5.5,,,,,1845 tax of the whole sancak (vergi-i mahsusa),registered income of the whole sancak,"computed by the author (Ottoman central government, Ceride Muhasebesi, 1847)","Efe 2016, tables 1, 2, 4 (pp.23–26)","checked in our reading notes; Biga's income cell is empty, so it cannot be checked"
Ottoman Empire,Varna sub-province (sancak),1845 tax (computed in 1847),,5,,,,,1845 tax of the whole sancak (vergi-i mahsusa),registered income of the whole sancak,"computed by the author (Ottoman central government, Ceride Muhasebesi, 1847)","Efe 2016, tables 1, 2, 4 (pp.23–26)","checked in our reading notes; Biga's income cell is empty, so it cannot be checked"
Ottoman Empire,Niğde sub-province (sancak),1845 tax (computed in 1847),,17,,,,,1845 tax of the whole sancak (vergi-i mahsusa),registered income of the whole sancak,"computed by the author (Ottoman central government, Ceride Muhasebesi, 1847)","Efe 2016, tables 1, 2, 4 (pp.23–26)","checked in our reading notes; Biga's income cell is empty, so it cannot be checked"
Ottoman Empire,İçil sub-province (sancak),1845 tax (computed in 1847),,15,,,,,1845 tax of the whole sancak (vergi-i mahsusa),registered income of the whole sancak,"computed by the author (Ottoman central government, Ceride Muhasebesi, 1847)","Efe 2016, tables 1, 2, 4 (pp.23–26)","checked in our reading notes; Biga's income cell is empty, so it cannot be checked"
Ottoman Empire,Bozok sub-province (sancak),1845 tax (computed in 1847),,18,,,,,1845 tax of the whole sancak (vergi-i mahsusa),registered income of the whole sancak,"computed by the author (Ottoman central government, Ceride Muhasebesi, 1847)","Efe 2016, tables 1, 2, 4 (pp.23–26)","checked in our reading notes; Biga's income cell is empty, so it cannot be checked"
Ottoman Empire,Kayseri sub-province (sancak),1845 tax (computed in 1847),,19.5,,,,,1845 tax of the whole sancak (vergi-i mahsusa),registered income of the whole sancak,"computed by the author (Ottoman central government, Ceride Muhasebesi, 1847)","Efe 2016, tables 1, 2, 4 (pp.23–26)","checked in our reading notes; Biga's income cell is empty, so it cannot be checked"
Ottoman Empire,Sivas sub-province (sancak),1845 tax (computed in 1847),,17,,,,,1845 tax of the whole sancak (vergi-i mahsusa),registered income of the whole sancak,"computed by the author (Ottoman central government, Ceride Muhasebesi, 1847)","Efe 2016, tables 1, 2, 4 (pp.23–26)","checked in our reading notes; Biga's income cell is empty, so it cannot be checked"
Ottoman Empire,Samakov sub-province (sancak),1845 tax (computed in 1847),,12,,,,,1845 tax of the whole sancak (vergi-i mahsusa),registered income of the whole sancak,"computed by the author (Ottoman central government, Ceride Muhasebesi, 1847)","Efe 2016, tables 1, 2, 4 (pp.23–26)","checked in our reading notes; Biga's income cell is empty, so it cannot be checked"
Japan,"Tawara village, Yoshino district, Yamato province",1807 (normal year),41,,,,,39.27,"jōnō and ko-nyūyō (annual tax and village expenses as one total, cannot be split)",sum of each household's declared output converted to silver at a uniform price,"computed by us (sum of the compiled table of 41 households; Watanabe, quoting Kinoshita 2017 at second hand, gives 31.3%; reason for the difference unknown)","Kinoshita 2013, compiled table pp.16–35",two independent transcriptions agree cell by cell
Japan,"Tawara village, Yoshino district, Yamato province",1836 (Tenpō famine),38,,,,,50.07,jōnō and ko-nyūyō; the original does not say whether assessed or actually paid,sum of each household's declared output converted to silver at a uniform price (including wages received),computed by us (computed in P009; I re-added it and got the same figure),"Kinoshita 2018, household table pp.45–63","ten households checked against the printed page, all match"
Russia,"Moscow province, all state peasants",1811,,25,,,,,"state direct taxes: poll tax 2 paper roubles plus state peasants' quitrent tax (obrochnaya podat') 6 paper roubles (per male soul), plus provincial taxes",pre-tax income (the authors' social table),computed by the author,"Korchmina and Malinowski 2026, JEH 86(1), p.99 (appendix I2 not obtained)","I read the original text layer; approximate, the authors write ""around 25 percent"""
Russia,"Moscow province, all serfs",1811,,7,,,,,state direct taxes: poll tax 2 paper roubles plus provincial taxes; excludes quitrent (obrok) or labour service owed to the lord,"pre-tax income (the authors' social table; the text does not say whether quitrent has been deducted, appendix I2 is needed)",computed by the author,"as above, p.99","as above; approximate, the authors write ""around 7 percent"""
Russia,"Rostov district, migrant wage workers from the Golitsyn and other estates",mid-nineteenth century,,,,13.5,,,lord's share: quitrent (obrok) 7 silver roubles per soul (not the state's share),minimum income of a migrant wage worker 51.5 silver roubles; adding the household's garden income gives 8.6%,computed by the author,"Morozov 2010, p.243","checked in our reading notes; the denominator is ""minimum income"", not the income of the whole estate"
England,"Four Midland counties, 364 villages (covered by the Hundred Rolls)",1279–80,,,,10.5,,,"recorded rent of villein tenants, 6.8–7.1 pence per acre (including the money value of labour services; excluding entry fines, heriots, mill tolls and tallage)","gross output of an 18-acre holding, valued from Campbell's demesne wheat yield of 11.6 bushels per acre and contemporary grain prices",computed by us (the England row of the eight full accounts in stage two; the rent figure was computed by Kanzaka),"Kanzaka 2002, quoted at second hand from Campbell 2005 pp.21–23; Campbell 2000 pp.312–313","rent: bibliographic reference checked, figure quoted at second hand (Kanzaka's original is paywalled, not obtained); Postan's ""around one half"" is a round figure, used only as an upper bound"
England,"England, whole kingdom",c. 1300,,,,,,18–23,"land income of all lords: rents, demesne profits (about three-tenths; output the lords farmed themselves, not paid by tenants), seigniorial revenues, tithe",total rural (agricultural) income,computed by the author,"Campbell 2005, Past and Present 188, pp.16–17, table 2, table 3","checked in our reading notes; the author says the figures are ""hardly robust"""
England,"England, whole kingdom",1340–41,,,,,4,,"total tithe about £110,000","total rural income (""roughly one twenty-fifth"")","computed by the author (Campbell, following Livingstone)","Campbell 2005, p.18","checked in our reading notes; the tithe is nominally one-tenth of gross output, but the denominator here is different"
Qing China,Around Suzhou and Shanghai,c. 1885–1911,,8–10,,,,,land tax actually collected (including surcharges),value of land output,computed by the author (Wang Yeh-chien),"Wang Yeh-chien 1973, Land Taxation in Imperial China, 1750–1911, quoted at second hand from ""Zhou Jian on Qing taxation and public finance"" (The Paper, Shanghai Review of Books, 2020-05); printed pages of Wang's book not obtained","bibliographic reference checked, figure quoted at second hand; the same author says most provinces were only 2–4%"
Qing China,"Suzhou sub-province (Wu, Changzhou and Yuanhe districts)",after the Tongzhi rent reduction to the end of the Qing (c. 1865–1911),,,,"lower bound, c. 23–29",,,rent actually received by landlords: nominal rent in the ledgers mostly 1.0–1.25 shi of rice per mu (78.1% of more than a thousand ledgers); about seven-tenths of nominal rent actually collected,"harvest per mu: the contemporary Tao Xu says ""at most three shi of rice, at least about one shi""; three shi is taken as the upper limit, so the result is a lower bound","computed by us (nominal rent and collection rate computed by Natsui; three shi is Tao Xu's round figure, used only as a bound)","Natsui 1998, p.85; Natsui 1989, pp.61–62, 73–74; Tao Xu's Zuhe as quoted by Natsui",I checked Natsui 1998 p. 85 against the printed page; Natsui 1989 checked in our reading notes; Tao Xu's original not seen
Qing China,"Suzhou sub-province: Changzhou, Yuanhe and Wu districts",c. 1850 (before the Taiping),,,,,,,"average rent about one shi, one dou and five sheng per mu; land tax took about four-tenths of the rent, landlords kept more than six dou net",rent per mu (not output),computed by the author (Natsui),"Natsui 1992, ""Taihei tengoku to Soshū nōson"" (The Taiping Heavenly Kingdom and the Suzhou countryside)","original pages read (repository PDF, vertical-text OCR); shows only how rent was divided between state and landlord, gives no share of output"
