处,地方,年份,户数,国家一道（只vergi等直接税）%,国家一道（加什一税等）%,领主或地主一道%,教会一道%,分不开的合计%,分子口径,分母口径,谁算的,出处,核验
奥斯曼,Kepsut 县 Kavacık 村（Hüdavendigâr，今 Balıkesir）,1844–45,13,14.0,20.1,,,,上年所缴 vergi-i mahsusa；加本年记的什一税,原册每户一年收入之和（地块第一栏为什一税十倍，含什一税的毛额，另加牲畜与手艺收入）；缺合计的户按农业加其他收入补,本件相除,Demir 2016 附录 EK 5–22 转写；册 ML.VRD.TMT.d 8400–8403,逐户转写已核算术；原册未见
奥斯曼,Kepsut 县 Sayacık 村（Hüdavendigâr，今 Balıkesir）,1844–45,9,15.9,24.8,,,,上年所缴 vergi-i mahsusa；加本年记的什一税,原册每户一年收入之和（地块第一栏为什一税十倍，含什一税的毛额，另加牲畜与手艺收入）；缺合计的户按农业加其他收入补,本件相除,Demir 2016 附录 EK 5–22 转写；册 ML.VRD.TMT.d 8400–8403,逐户转写已核算术；原册未见
奥斯曼,Kepsut 县 Örenli 村（Hüdavendigâr，今 Balıkesir）,1844–45,12,16.1,24.4,,,,上年所缴 vergi-i mahsusa；加本年记的什一税,原册每户一年收入之和（地块第一栏为什一税十倍，含什一税的毛额，另加牲畜与手艺收入）；缺合计的户按农业加其他收入补,本件相除,Demir 2016 附录 EK 5–22 转写；册 ML.VRD.TMT.d 8400–8403,逐户转写已核算术；原册未见
奥斯曼,Kepsut 县 Mefteros 村（Hüdavendigâr，今 Balıkesir）,1844–45,12,16.4,21.3,,,,上年所缴 vergi-i mahsusa；加本年记的什一税,原册每户一年收入之和（地块第一栏为什一税十倍，含什一税的毛额，另加牲畜与手艺收入）；缺合计的户按农业加其他收入补,本件相除,Demir 2016 附录 EK 5–22 转写；册 ML.VRD.TMT.d 8400–8403,逐户转写已核算术；原册未见
奥斯曼,Kepsut 县 Umurlar 村（Hüdavendigâr，今 Balıkesir）,1844–45,16,24.4,30.5,,,,上年所缴 vergi-i mahsusa；加本年记的什一税,原册每户一年收入之和（地块第一栏为什一税十倍，含什一税的毛额，另加牲畜与手艺收入）；缺合计的户按农业加其他收入补,本件相除,Demir 2016 附录 EK 5–22 转写；册 ML.VRD.TMT.d 8400–8403,逐户转写已核算术；原册未见
奥斯曼,Kepsut 县 Şabanlar 村（Hüdavendigâr，今 Balıkesir）,1844–45,23,17.1,23.8,,,,上年所缴 vergi-i mahsusa；加本年记的什一税,原册每户一年收入之和（地块第一栏为什一税十倍，含什一税的毛额，另加牲畜与手艺收入）；缺合计的户按农业加其他收入补,本件相除,Demir 2016 附录 EK 5–22 转写；册 ML.VRD.TMT.d 8400–8403,逐户转写已核算术；原册未见
奥斯曼,Kepsut 县 Veliler 街区 村（Hüdavendigâr，今 Balıkesir）,1844–45,6,18.0,26.0,,,,上年所缴 vergi-i mahsusa；加本年记的什一税,原册每户一年收入之和（地块第一栏为什一税十倍，含什一税的毛额，另加牲畜与手艺收入）；缺合计的户按农业加其他收入补,本件相除,Demir 2016 附录 EK 5–22 转写；册 ML.VRD.TMT.d 8400–8403,逐户转写已核算术；原册未见
奥斯曼,Kepsut 县 17 村合计,1844–45,290,19.0,25.1,,,,上年所缴 vergi-i mahsusa；加本年记的什一税,原册每户一年收入之和（地块第一栏为什一税十倍，含什一税的毛额，另加牲畜与手艺收入）；缺合计的户按农业加其他收入补,本件相除,同上；Demir 自己印的村合计相除为 18.1%（Çizelge 56，pp.133–134）,同上
奥斯曼,Bezirgân 村（Kütahya，Gireği）,1844–45,38,11.5,20.6,,,,上年所缴 vergi-i mahsusa；加 1260 年什一税,1260 年农业收入（什一税十倍）加牲畜收入；缺磨坊、牧羊等其他收入,本件相除,Kolay 2014 Tablo-5、12、14；册 8685,逐户转写已核算术；作者两年平均口径相除为 12.7%
奥斯曼,Tivnik 村（Erzurum）,1844–45,66,5.2,9.2,,,,"上年所缴 vergi-i mahsusa 全村 1,780；什一税 1,376.5","原册全村收入 34,400（农业部分为分成后本户所得，扣什一税）",本件相除（用作者印的全村合计）,Atar 2026 Tablo 4、9（pp.2381、2384）,对原页核过（300 dpi，见前人数核对.md）
奥斯曼,Niš 的 Pop Stanko 街区（城区）,1845,57,8.8,11.7,,,,上年所缴 vergi；什一税,田地、葡萄园、菜园、草地与职业收入相加（本件拼的）,本件相除,Ranđelović 与 Çekmez 2025 逐户叙述,作者不给合计；只作城区对照
奥斯曼,Alpu 村（Eskişehir）,1844–45,199,13.8,22.48,,,,作者：vergi-i mahsusa 约 13.80%；22.48% 为预计什一税、羊税加上年 vergi,清查的「估计收入」,作者算,Küçükkalay 与 Efe 2006，p.260、附表,对原页核过（300 dpi，见前人数核对.md）；正文总税 43.343 为印误，附表 45.343；13.80＋8.93≠22.48 原因未明
奥斯曼,Otmanlı 村（Selanik）,1845,151,8.16,,,,,vergi（年份未说明）,登记收入合计；单位是纳税人,作者算,Seyyar 2019，pp.476–477,对原页核过（300 dpi，见前人数核对.md）
奥斯曼,Ağsaklar 村（Kütahya，Gediz）,1845,17,4.1,5.8,,,,两栏 vergi（第二栏性质未定）；加各项什一税,逐户收入各项之和,本件相除（用作者印的数）,Pehlivan 2023 Tablo 6、7,对原页核过（300 dpi，见前人数核对.md）
奥斯曼,Saruhanlar 村（Kütahya，Simav）,1844／1845,35,33.6,37.8,,,,"1260/1844 vergi-i mahsusa 4,776.5；什一税 596.5","1261/1845 估计收入 14,198",本件相除（用作者印的数）,Sağlam 2022 Tablo 12、13，p.50–51,对原页核过（300 dpi，见前人数核对.md）；两栏不同年，作者对税栏说法矛盾
奥斯曼,Rumnos 村（Bolu，Devrek）,1844–45,20,15.1,22.7,,,,"vergi-i mahsusa 4,614；什一税 2,329.5","全村收入 30,625",本件相除（用作者印的数）,Hançer 2026 Table 2、7,只对 .txt 抄件核过，无原页
奥斯曼,Ödemiş 镇（Aydın）,1844–45,487,20.8,,,,,virgü-yi mahsûsa（「1844 年所缴」）,收入，扣什一税后,作者算,Güran 1985，s.317,对原页核过（300 dpi，见前人数核对.md）；作者说加什一税「约 25%」，是概数，不入表
奥斯曼,Kilmigad 县 42 村,1844–45,642,15.2,22.37,,,,vergi-i mahsusa、什一税、羊税三项,册上收入,作者算（加什一税一栏）；只 vergi 一栏本件相除（表 2 各村 vergi-i mahsusa 合计）,Zabun 2021，pp.474–476；各村 9% 到 37.84%,"对原页核过（300 dpi，见前人数核对.md）；正文总税 76,267 与表 2 不合，以表为准"
奥斯曼,Artukabad 县 56 村,1844–45,,20.1,28.1,,,,只 vergi；全部税,册上收入,"本件相除（用作者 Tablo 6 合计 242,835.2 ÷ 864,195；作者印 29，是取整后分项相加）",Üçtepe 2006 硕士论文，p.20 Tablo 6、p.60、pp.66–69；只 vergi 各村 9.5% 到 34.3%,对原页核过（300 dpi，见前人数核对.md）
奥斯曼,内陆组 10 村（跨县）,1844–45,,17.6,25.64,,,,全部税,册上收入,作者算,Koyuncu 与 Küçükkalay 2016，p.195、附录 1,"对原页核过（300 dpi，见前人数核对.md）；正文误印 24,65，以附录总计为准"
奥斯曼,商业中心腹地组 10 村（跨县）,1844–45,,14.0,18.25,,,,全部税,册上收入,作者算,Koyuncu 与 Küçükkalay 2016，p.195、附录 1,对原页核过（300 dpi，见前人数核对.md）
奥斯曼,Tire 县乡村 70 村、6 农庄,1845,"2,606",23.9,,,,,上年所缴的税,汇总册登记收入,本件相除（作者印 23%）,Yükçü 等 2014，Tablo 10，p.195,对原页核过（300 dpi，见前人数核对.md）
奥斯曼,Tire 城区 39 街区（不含另列的 Rum 与犹太人口）,1845,"3,026",18.6,,,,,同上,同上,本件相除（作者印 18%）,同上,对原页核过（300 dpi，见前人数核对.md）
奥斯曼,Buldan 镇,1844,851,13.3,,,,,上年所缴 vergi,平均登记收入,本件相除（作者分组 13.35%、13.05%）,İlter 2022，Tablo 1，p.462,对原页核过（300 dpi，见前人数核对.md）
奥斯曼,索尔贡县（Bozok）,1844–45,"1,908",18.3,28.1,,,,vergi-i mahsusa；加什一税与各项费,登记收入（什一税九倍倒推）,作者算（28.1% 为我按作者总数回算，作者印 29.2%）,Yereli 等 2015,已入 readings
奥斯曼,尼代两村,1844–45,132,13.3,,,,,vergi-i mahsusa,登记收入,作者算,Gölçek 与 Köktaş 2019,已入 readings
奥斯曼,Filibe 九村,1844–45,,13–22,,,,,—,—,作者算（转引）,Güran 1998，转引自 Koyuncu 与 Küçükkalay 2016 p.195,原书未取到
奥斯曼,Tavşanlı 中心街区与村,1844–45,,19,,,,,—,—,作者算（转引）,Atar 2007 硕士论文 p.101，转引自 Alpu 一篇注 33,原书未取到
奥斯曼,Ankara sancak（府）,1845 税（1847 年核算）,,31.5,,,,,sancak 全体的 1845 年税（vergi-i mahsusa）,sancak 全体登记收入,作者算（奥斯曼中央 Ceride Muhasebesi，1847）,Efe 2016 表 1、2、4（pp.23–26）,已入 readings；Biga 收入栏空，核不了
奥斯曼,Kastamonu sancak（府）,1845 税（1847 年核算）,,37,,,,,sancak 全体的 1845 年税（vergi-i mahsusa）,sancak 全体登记收入,作者算（奥斯曼中央 Ceride Muhasebesi，1847）,Efe 2016 表 1、2、4（pp.23–26）,已入 readings；Biga 收入栏空，核不了
奥斯曼,Amasya sancak（府）,1845 税（1847 年核算）,,23.5,,,,,sancak 全体的 1845 年税（vergi-i mahsusa）,sancak 全体登记收入,作者算（奥斯曼中央 Ceride Muhasebesi，1847）,Efe 2016 表 1、2、4（pp.23–26）,已入 readings；Biga 收入栏空，核不了
奥斯曼,Biga sancak（府）,1845 税（1847 年核算）,,80,,,,,sancak 全体的 1845 年税（vergi-i mahsusa）,sancak 全体登记收入,作者算（奥斯曼中央 Ceride Muhasebesi，1847）,Efe 2016 表 1、2、4（pp.23–26）,已入 readings；Biga 收入栏空，核不了
奥斯曼,Konya sancak（府）,1845 税（1847 年核算）,,12,,,,,sancak 全体的 1845 年税（vergi-i mahsusa）,sancak 全体登记收入,作者算（奥斯曼中央 Ceride Muhasebesi，1847）,Efe 2016 表 1、2、4（pp.23–26）,已入 readings；Biga 收入栏空，核不了
奥斯曼,Vidin sancak（府）,1845 税（1847 年核算）,,12,,,,,sancak 全体的 1845 年税（vergi-i mahsusa）,sancak 全体登记收入,作者算（奥斯曼中央 Ceride Muhasebesi，1847）,Efe 2016 表 1、2、4（pp.23–26）,已入 readings；Biga 收入栏空，核不了
奥斯曼,Silistre sancak（府）,1845 税（1847 年核算）,,5.5,,,,,sancak 全体的 1845 年税（vergi-i mahsusa）,sancak 全体登记收入,作者算（奥斯曼中央 Ceride Muhasebesi，1847）,Efe 2016 表 1、2、4（pp.23–26）,已入 readings；Biga 收入栏空，核不了
奥斯曼,Varna sancak（府）,1845 税（1847 年核算）,,5,,,,,sancak 全体的 1845 年税（vergi-i mahsusa）,sancak 全体登记收入,作者算（奥斯曼中央 Ceride Muhasebesi，1847）,Efe 2016 表 1、2、4（pp.23–26）,已入 readings；Biga 收入栏空，核不了
奥斯曼,Niğde sancak（府）,1845 税（1847 年核算）,,17,,,,,sancak 全体的 1845 年税（vergi-i mahsusa）,sancak 全体登记收入,作者算（奥斯曼中央 Ceride Muhasebesi，1847）,Efe 2016 表 1、2、4（pp.23–26）,已入 readings；Biga 收入栏空，核不了
奥斯曼,İçil sancak（府）,1845 税（1847 年核算）,,15,,,,,sancak 全体的 1845 年税（vergi-i mahsusa）,sancak 全体登记收入,作者算（奥斯曼中央 Ceride Muhasebesi，1847）,Efe 2016 表 1、2、4（pp.23–26）,已入 readings；Biga 收入栏空，核不了
奥斯曼,Bozok sancak（府）,1845 税（1847 年核算）,,18,,,,,sancak 全体的 1845 年税（vergi-i mahsusa）,sancak 全体登记收入,作者算（奥斯曼中央 Ceride Muhasebesi，1847）,Efe 2016 表 1、2、4（pp.23–26）,已入 readings；Biga 收入栏空，核不了
奥斯曼,Kayseri sancak（府）,1845 税（1847 年核算）,,19.5,,,,,sancak 全体的 1845 年税（vergi-i mahsusa）,sancak 全体登记收入,作者算（奥斯曼中央 Ceride Muhasebesi，1847）,Efe 2016 表 1、2、4（pp.23–26）,已入 readings；Biga 收入栏空，核不了
奥斯曼,Sivas sancak（府）,1845 税（1847 年核算）,,17,,,,,sancak 全体的 1845 年税（vergi-i mahsusa）,sancak 全体登记收入,作者算（奥斯曼中央 Ceride Muhasebesi，1847）,Efe 2016 表 1、2、4（pp.23–26）,已入 readings；Biga 收入栏空，核不了
奥斯曼,Samakov sancak（府）,1845 税（1847 年核算）,,12,,,,,sancak 全体的 1845 年税（vergi-i mahsusa）,sancak 全体登记收入,作者算（奥斯曼中央 Ceride Muhasebesi，1847）,Efe 2016 表 1、2、4（pp.23–26）,已入 readings；Biga 收入栏空，核不了
日本,大和国吉野郡田原村,1807（平时）,41,,,,,39.27,上纳・小入用（年贡与村入用合计，分不开）,各户申报产量按统一单价折银之和,本件相除（41 户整理表相加；渡辺转引木下 2017 为 31.3%，差因未明）,木下 2013 整理表 pp.16–35,两份独立抄本逐格一致
日本,大和国吉野郡田原村,1836（天保饥馑）,38,,,,,50.07,上纳・小入用；应纳实纳原档未说明,各户申报产量按统一单价折银之和（含给银）,本件相除（P009 算，我重加同数）,木下 2018 世帯表 pp.45–63,十户对原页全对
俄国,莫斯科省全体国有农民,1811,,25,,,,,国家直接税：人头税 2 纸卢布加国有农民代役税 6 纸卢布（每男丁），加省税,税前收入（作者社会表）,作者算,Korchmina 与 Malinowski 2026，JEH 86(1)，p.99（附录 I2 未取）,我读到文字层原文；约数，作者写 around 25 percent
俄国,莫斯科省全体农奴,1811,,7,,,,,国家直接税：人头税 2 纸卢布加省税；不含交领主的代役租或劳役,税前收入（作者社会表；是否已扣代役租，正文未说，要看附录 I2）,作者算,同上，p.99,同上；约数，作者写 around 7 percent
俄国,罗斯托夫县戈利岑等庄园外出雇工,十九世纪中叶,,,,13.5,,,领主一道：代役租每魂 7 银卢布（不是国家一道）,外出雇工最低收入 51.5 银卢布；加家中菜园收入则 8.6%,作者算,Morozov 2010，p.243,已入 readings；分母是「最低收入」，不是庄园全体收入
英格兰,中部四郡 364 村（《百户区卷宗》所及）,1279–80,,,,10.5,,,维兰佃户登记额租每英亩 6.8–7.1 便士（含劳役折值；不含进入费、遗产税、磨坊费、任意税）,18 英亩持地的毛产出，按 Campbell 自营地小麦亩产 11.6 蒲式耳与同期粮价折算,本件相除（阶段二八处整账英格兰一行；额租是 Kanzaka 算的）,Kanzaka 2002，转引自 Campbell 2005 pp.21–23；Campbell 2000 pp.312–313,额租书目核到、数转引（Kanzaka 原文付费未取）；Postan「五成上下」是概数，只作上界
英格兰,英格兰全国,约 1300,,,,,,18–23,全体领主的土地收入：地租、自营地收益（约三成，是领主自己经营的产出，不是佃户交的）、领主特权收入、什一税,农村（农业）总收入,作者算,Campbell 2005，Past and Present 188，pp.16–17、表 2、表 3,已入 readings；作者自称数字「很难说稳健」
英格兰,英格兰全国,1340–41,,,,,4,,什一税总额约 11 万镑,农村总收入（「约当二十五分之一」）,作者算（Campbell 据 Livingstone）,Campbell 2005，p.18,已入 readings；什一税名义是毛产出的十分之一，这里的分母不同
清代,苏州、上海附近,约 1885–1911,,8–10,,,,,田赋实征（含加征）,土地产值,作者算（王业键）,"Wang Yeh-chien 1973《Land Taxation in Imperial China, 1750–1911》，转引自《周健谈清代的赋税与财政》（澎湃·上海书评，2020-05）；王书原页未取到",书目核到、数转引；同一作者说多数省份只 2–4%
清代,苏州府（吴县、长洲、元和一带）,同治减租后至清末（约 1865–1911）,,,,下界约 23–29,,,地主实收地租：簿册额租每亩多为 1.0–1.25 石米（千余件中占 78.1%），实收约为额租七成,每亩收获：同时代人陶煦说「多者米三石，少者一石上下」；取三石为上限，所以得的是下界,本件相除（额租、纳租率为夏井算；三石是陶煦的概数，只作界）,夏井 1998，p.85；夏井 1989，pp.61–62、73–74；陶煦《租覈》经夏井引,夏井 1998 第 85 页我对原页核过；夏井 1989 已入 readings；陶煦原书未见
清代,苏州府长洲、元和、吴县,约 1850（太平天国前）,,,,,,,田租平均每亩约一石一斗五升；其中田赋约占租额四成，地主净得六斗以上,每亩租额（不是产出）,作者算（夏井）,夏井 1992《太平天国と蘇州農村》,读到原文页（机构库 PDF，竖排 OCR）；只说明租里国家与地主怎样分，不给占产出的比例
